335, 649, ORF1
538, 792, ORF2
1505, 1663, ORF3
1807, 2169, ORF4
2129, 2299, ORF5
2425, 2628, ORF6
2480, 2707, ORF7
3170, 3394, ORF8
3641, 3805, ORF9
4067, 4354, ORF10
5379, 5609, ORF11
7177, 7347, ORF12
7235, 9016, ORF13
8152, 8310, ORF14
10091, 10399, ORF15
10224, 10448, ORF16
11565, 11951, ORF17
12046, 12426, ORF18
12949, 13152, ORF19
13363, 13743, ORF20
13506, 13682, ORF21
13550, 13708, ORF22
13813, 14037, ORF23
14193, 14408, ORF24
14511, 14711, ORF25
15294, 15473, ORF26
15638, 15832, ORF27
16236, 16427, ORF28
16933, 17091, ORF29
17455, 17721, ORF30
17588, 17788, ORF31
18764, 18943, ORF32
19084, 19233, ORF33
19617, 19769, ORF34
19726, 19965, ORF35
20550, 20717, ORF36
21566, 21850, ORF37
22395, 22685, ORF38
24000, 27968, ORF39
24028, 24228, ORF40
24478, 24879, ORF41
25114, 25317, ORF42
26059, 26319, ORF43
26734, 27159, ORF44
27614, 27802, ORF45
29011, 29178, ORF46
29143, 29295, ORF47
